,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,df,parallel,type,in_service,coords
52,184842928,,147,344,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554044.9928560001, 145898.93913699998), (554051.0, 145897.0)]"
53,43958384,,335,298,0.12,0.156,0.113,0.03128783185733572,0.414,1.0,1,cs,True,"[(554436.0, 146391.0), (554368.566, 146336.09699999998)]"
54,193621147,,335,93,0.001,0.02,0.033,0.00694934506550238,2.004,1.0,1,cs,True,"[(554436.0, 146391.0), (554436.0, 146391.0)]"
55,44009368,,292,364,0.143,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554222.2, 146151.513), (554304.134, 146263.786)]"
56,44009369,,481,364,0.024,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554314.3944689999, 146258.78207000002), (554304.134, 146263.786)]"
57,43959755,,106,147,0.119,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(553981.3418020001, 145930.754609), (554044.9928560001, 145898.93913699998)]"
58,44000334,,289,107,0.058,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554205.687, 146139.90300000002), (554213.574, 146132.659)]"
59,192649080,,114,459,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554043.662288, 145896.83908099998), (554051.0, 145897.0)]"
60,68631249,,114,325,0.06,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554043.662288, 145896.83908099998), (554001.929, 145914.67)]"
61,44000333,,387,292,0.058,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554243.993888, 146127.93181900002), (554222.2, 146151.513)]"
62,135268551,,157,246,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554202.0, 146148.0), (554202.0, 146148.0)]"
63,137007579,,377,246,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554209.018503, 146150.11117699998), (554202.0, 146148.0)]"
64,135268548,,157,142,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554202.0, 146148.0), (554202.0, 146148.0)]"
65,137007567,,142,455,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554202.0, 146148.0), (554204.022783, 146140.83940899998)]"
66,43993260,,113,348,0.27,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(553984.272809, 145933.525346), (554145.477519, 146009.233569)]"
67,52066189,,172,348,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554150.0, 146006.0), (554145.477519, 146009.233569)]"
68,43959870,,298,295,0.086,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554368.566, 146336.09699999998), (554322.649, 146286.61)]"
69,44009370,,137,295,0.024,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554324.086109, 146265.263039), (554322.649, 146286.61)]"
70,52066199,,357,396,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554150.0, 146006.0), (554150.063415, 146013.579548)]"
71,44000331,,107,396,0.15,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554213.574, 146132.659), (554150.063415, 146013.579548)]"
72,52826070,,123,481,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554322.0, 146260.0), (554314.3944689999, 146258.78207000002)]"
73,52826060,,458,137,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554322.0, 146260.0), (554324.086109, 146265.263039)]"
74,137006812,,455,289,0.005,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554204.022783, 146140.83940899998), (554205.687, 146139.90300000002)]"
75,52105788,,327,167,0.001,0.06,0.099,0.020848035196507138,0.668,1.0,1,cs,True,"[(554286.0, 145634.0), (554292.483192, 145630.192411)]"
76,43958037,,255,288,0.002,0.156,0.108,0.03377364890329669,0.414,1.0,1,cs,True,"[(554294.937, 145599.424), (554295.892, 145597.113)]"
