,name,bus,p_kw,q_kvar,const_z_percent,const_i_percent,sn_kva,scaling,in_service,type
24,load 42788108,1606,2.8869086983681562,0.9488810022562142,0.0,0.0,,1.0,True,
25,load 42771587,1625,1.303603386297772,0.42847371253341915,0.0,0.0,,1.0,True,
26,load 42763158,1176,7.098966874302128,2.333317574774387,0.0,0.0,,1.0,True,
27,load 42765907,1502,0.3616902902319725,0.11888184939677922,0.0,0.0,,1.0,True,
28,load 42766857,1649,1.6006183332657817,0.526097804602347,0.0,0.0,,1.0,True,
29,load 42744012,1291,6.594654983770341,2.1675582723038853,0.0,0.0,,1.0,True,
30,load 42793283,1092,2.9792077930724794,0.9792182476079238,0.0,0.0,,1.0,True,
31,load 42763526,938,1.978930713863603,0.6504430708972273,0.0,0.0,,1.0,True,
32,load 42758495,1066,5.85283261090297,1.9237330494763125,0.0,0.0,,1.0,True,
33,load 42787701,1071,3.0830436340653042,1.013347438090145,0.0,0.0,,1.0,True,
34,load 42738067,1773,2.751212313037228,0.9042797572677117,0.0,0.0,,1.0,True,
35,load 42777552,650,1.7551025772640538,0.5768743201051522,0.0,0.0,,1.0,True,
36,load 42767192,1466,8.494082712958612,2.7918699758240524,0.0,0.0,,1.0,True,
37,load 42774348,572,4.615718958720561,1.5171134557041819,0.0,0.0,,1.0,True,
38,load 42769205,738,4.425313846613099,1.4545303218096595,0.0,0.0,,1.0,True,
39,load 42744368,1179,8.346500211863122,2.7433619535114224,0.0,0.0,,1.0,True,
40,load 42791308,518,2.727062758751522,0.8963421826268463,0.0,0.0,,1.0,True,
41,load 42768432,1539,0.6525602049935778,0.21448616705364967,0.0,0.0,,1.0,True,
42,load 42756786,1547,5.6394540884679145,1.853598920765358,0.0,0.0,,1.0,True,
43,load 42773116,1566,4.867243748343506,1.5997856561117014,0.0,0.0,,1.0,True,
44,load 42774851,1645,1.2682029675754745,0.41683815758272375,0.0,0.0,,1.0,True,
45,load 42769956,1423,4.706826093539241,1.5470589227874698,0.0,0.0,,1.0,True,
46,load 42773422,489,1.7584812677684882,0.5779848419702784,0.0,0.0,,1.0,True,
47,load 42790182,701,2.161567975090319,0.7104730356758487,0.0,0.0,,1.0,True,
48,load 42733247,1552,4.820417394398848,1.5843945778666126,0.0,0.0,,1.0,True,
49,load 42791520,1105,4.751639668456383,1.5617884325589761,0.0,0.0,,1.0,True,
50,load 42772160,1149,6.696116427853148,2.200907036262398,0.0,0.0,,1.0,True,
51,load 42782833,667,9.163551788377946,3.011913819823177,0.0,0.0,,1.0,True,
52,load 42793470,1194,3.3666593847267046,1.1065674273109192,0.0,0.0,,1.0,True,
53,load 42790555,1067,6.585076219339158,2.164409884688103,0.0,0.0,,1.0,True,
