,bus,element,et,type,closed,SectionID,FromNodeID,ToNodeID,ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,RatedLevel,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Manufacturer,Standard,CableType,NumberOfGroundingConductors,ArmorOuterDiameter,OverallDiameter,ConcentricNeutralBeforeSheath,UserDefinedImpedances,Frequency,Temperature,ImpedancesNote,Favorite,Flags,Comments,Length
46,104,367,b,,True,42552421,89562607,42876371,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
47,365,352,b,,True,42601685,42981084,42948110,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
48,253,122,b,,True,42575205,42876278,42968944,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
49,3036,2517,b,,True,42574803,42881443,42881441,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
50,344,256,b,,True,184842567,183138030,42965808,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
51,2040,2520,b,,True,175588292,175587419,175587504,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
52,245,157,b,,True,148912771,148911909,135267619,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
53,367,412,b,,True,42574300,42876371,42876368,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
54,459,256,b,,True,184842562,42874412,42965808,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
55,412,357,b,,True,42542282,42876368,42876372,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
56,414,485,b,,True,42613836,42951837,42951834,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
57,3037,2425,b,,True,214551798,214550564,214550910,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
58,294,147,b,,True,184842534,184842073,184842916,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
59,94,256,b,,True,184842579,42874411,42965808,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
60,191,393,b,,True,42599595,42940185,42933489,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
61,373,137,b,,True,42614708,42951840,52826058,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
62,316,122,b,,True,42540882,42876385,42968944,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
63,148,455,b,,True,137007533,137007486,137007564,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
64,2409,2521,b,,True,148913110,148912587,148912475,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
65,257,477,b,,True,42594770,42937051,42879304,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
66,286,366,b,,True,192652467,192652387,42891677,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
67,309,256,b,,True,42548492,42891790,42965808,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
68,172,412,b,,True,42591701,42968939,42876368,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
69,157,215,b,,True,148912722,135267619,149040315,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
70,153,377,b,,True,137007538,137007489,137007576,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
71,1905,2522,b,,True,42574810,42880286,42886748,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
72,350,337,b,,True,42590691,42923229,42974432,M-FIC,0.06,0.06,0.099,0.099,152.681,152.681,607.0,607.0,607.0,668.0,668.0,300.0,,,,,,20.0,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
73,2489,2523,b,,True,42613838,42951843,42951842,B-FIC,0.4158,1.0,0.3269,1.0,3.544,1.0,305.0,305.0,305.0,305.0,305.0,300.0,,,,,,0.4,0.0,0.0,0,,,0,1,27.0,28.0,0,1,-1.0,-274.0,,0,0,,0.0
