,SectionID,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,df,parallel,type,in_service,coords,FromNodeID,ToNodeID
160,43906703,,1753.0,1033.0,0.004,0.8409,0.094,0.012281421644563265,0.105,1.0,1.0,cs,True,"[(554334.073, 145569.333), (554331.839, 145566.807)]",42863893,42673993
161,43886256,,834.0,1033.0,0.011,0.2238,0.086,0.009008600390099925,0.22,1.0,1.0,cs,True,"[(554341.42, 145558.93099999998), (554331.839, 145566.807)]",42686923,42673993
162,44014393,,1753.0,1679.0,0.001,0.9266,0.086,0.02060124821589481,0.149,1.0,1.0,cs,True,"[(554334.073, 145569.333), (554334.986, 145570.40099999998)]",42863893,42767812
163,131541564,,871.0,1381.0,0.01,0.8409,0.086,0.006140710822281632,0.122,1.0,1.0,cs,True,"[(554302.33, 145591.666), (554296.782, 145589.466)]",131541284,131541350
164,132749456,,871.0,1422.0,0.01,0.2238,0.086,0.009008600390099925,0.22,1.0,1.0,cs,True,"[(554302.33, 145591.666), (554305.176, 145575.836)]",131541284,42692581
165,52105740,,3053.0,2285.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554286.0, 145634.0), (554280.802819, 145632.03557)]",42937036,52105738
166,131541315,,609.0,1721.0,0.039,0.2238,0.082,0.0045043001950499624,0.255,1.0,1.0,cs,True,"[(554298.049, 145597.133), (554299.548, 145562.503)]",42693976,42701026
167,119479297,,863.0,946.0,0.002,2.1181,0.094,0.00691136629719886,0.075,1.0,1.0,cs,True,"[(554346.176, 145555.671), (554347.307, 145557.229)]",119478920,119479132
168,131738290,,2542.0,2032.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554352.0, 145525.0), (554351.93702, 145529.040648)]",42965709,131738287
169,43811459,,2027.0,600.0,0.004,0.1579,0.08,0.013817932201067487,0.396,1.0,1.0,cs,True,"[(554287.8636340001, 145522.293998), (554298.465, 145527.581)]",52879082,42677078
170,44008902,,2279.0,1551.0,0.038,1.4662,0.09,0.023149809904275686,0.11,1.0,1.0,cs,True,"[(554290.176186, 145640.54697), (554309.838, 145626.645)]",52105690,42786427
171,52931492,,2541.0,1995.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554306.0, 145544.0), (554306.126848, 145541.75357899998)]",42954708,52931490
172,43895080,,1996.0,576.0,0.027,0.2238,0.082,0.0045043001950499624,0.255,1.0,1.0,cs,True,"[(554306.126848, 145541.75357899998), (554303.991, 145564.527)]",52931498,42689483
173,43885612,,1422.0,576.0,0.014,0.2238,0.086,0.009008600390099925,0.22,1.0,1.0,cs,True,"[(554305.176, 145575.836), (554303.991, 145564.527)]",42692581,42689483
174,127130361,,1267.0,1625.0,0.002,2.1181,0.105,0.01382273259439772,0.065,1.0,1.0,cs,True,"[(554299.816, 145575.934), (554297.538, 145576.064)]",127130344,42771587
175,43914692,,1761.0,834.0,0.008,0.8409,0.086,0.006140710822281632,0.122,1.0,1.0,cs,True,"[(554343.21, 145561.43099999998), (554341.42, 145558.93099999998)]",42763335,42686923
