[GENERAL]
DATE=March 15, 2017 at 16:18:13
CYME_VERSION=7.20
CYMDIST_REVISION=05

[SI]

[CABLE]
FORMAT_CABLE=ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,RatedLevel,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Manufacturer,Standard,CableType,NumberOfGroundingConductors,ArmorOuterDiameter,OverallDiameter,ConcentricNeutralBeforeSheath,UserDefinedImpedances,Frequency,Temperature,ImpedancesNote,Favorite,Flags,Comments
B-G-25,0.926600,0.000000,0.086000,0.000000,154.510000,0.000000,135.000000,135.000000,135.000000,149.000000,149.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-T-2X25,0.420400,0.000000,0.043000,0.000000,1036.730000,0.000000,189.000000,189.000000,189.000000,219.000000,219.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,2,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-P-6-RE,3.563900,0.000000,0.112000,0.000000,172.790000,0.000000,50.000000,50.000000,50.000000,50.000000,50.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-PALT-240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
24-UNI-XKDT-50-CU,0.400000,0.400000,1.400000,1.400000,0.000000,0.000000,197.000000,197.000000,197.000000,197.000000,197.000000,7400.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0,NEXANS,ASE / HD 620; IEC 60502,0,1,27.000000,27.000000,1,0,50.000000,25.000000,,0,0,
B-G-95,0.246600,0.000000,0.082000,0.000000,210.650000,0.000000,280.000000,280.000000,280.000000,308.000000,308.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-T-2X95,0.111900,0.000000,0.041000,0.000000,1413.370000,0.000000,396.000000,396.000000,396.000000,459.000000,459.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,2,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
EP-25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,300.000000,,,,,,0.230000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-BT-25,0.100000,0.000000,0.100000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
B-P-6,3.563900,0.000000,0.112000,0.000000,172.790000,0.000000,50.000000,50.000000,50.000000,50.000000,50.000000,300.000000,,,,,,0.400000,0.000000,0.000000,0,,,0,1,27.000000,28.000000,0,1,-1.000000,-274.000000,,0,0,
